backbone,dish_id,session,rung,damage,cal_true,cal_pred,cal_abs_err,mass_true,mass_pred,mass_abs_err,mahalanobis,knn_dist,ensemble_spread,learned_error,blend,pred_magnitude,lap_var,tenengrad,blockiness,hf_ratio
vit_base_patch16_clip_224.openai,dish_1565035746,98,clean,clean,43.1,54.0186,10.9186,149,168.328,19.3283,7.30712,48.1884,17.9753,36.1442,20.4487,54.0186,94.7336,160.195,0.0936277,0.0150561
vit_base_patch16_clip_224.openai,dish_1558639818,17,clean,clean,20.06,28.949,8.88898,59,103.242,44.2422,7.28739,31.7553,10.8575,35.9047,26.8343,28.949,147.97,283.059,-0.00292718,0.0202909
vit_base_patch16_clip_224.openai,dish_1558549605,14,clean,clean,97.5,144.207,46.7068,75,110.39,35.39,8.95898,43.6931,18.5411,60.2524,53.9737,144.207,145.197,268.454,0.0332607,0.019559
vit_base_patch16_clip_224.openai,dish_1561663580,50,clean,clean,432.063,365.474,66.5897,307,219.485,87.5153,7.4525,47.5962,18.8905,82.113,85.2185,365.474,206.779,305.387,0.160979,0.0236681
vit_base_patch16_clip_224.openai,dish_1565898402,107,clean,clean,384.799,349.679,35.1203,229,221.377,7.6231,7.24194,47.4788,11.4894,82.2026,83.2227,349.679,153.565,277.457,0.017568,0.0141443
vit_base_patch16_clip_224.openai,dish_1566328724,111,clean,clean,275.55,238.994,36.5558,167,157.38,9.62025,7.8374,48.2898,16.549,59.0488,51.0346,238.994,151.841,243.398,-0.0521956,0.0217578
vit_base_patch16_clip_224.openai,dish_1566838351,118,clean,clean,190.01,184.134,5.87622,417,334.722,82.2776,7.74083,44.1453,12.4838,44.5597,31.8142,184.134,98.9767,181.421,0.187779,0.0092465
vit_base_patch16_clip_224.openai,dish_1567107839,123,clean,clean,174.284,212.293,38.0082,156,141.542,14.4578,6.41526,41.9486,17.2376,76.2751,81.4595,212.293,158.546,260.776,0.0190691,0.0214245
vit_base_patch16_clip_224.openai,dish_1558639787,17,clean,clean,24.75,6.14252,18.6075,99,106.545,7.54479,7.81373,34.6471,12.1783,49.0431,43.1461,6.14252,162.85,305.903,0.0434067,0.022664
vit_base_patch16_clip_224.openai,dish_1562788601,67,clean,clean,413.17,444.126,30.9557,287,313.484,26.4835,6.61195,47.0704,21.462,113.412,131.732,444.126,102.704,169.473,-0.0297601,0.0126644
vit_base_patch16_clip_224.openai,dish_1560456326,36,clean,clean,206.873,175.373,31.5,138,143.943,5.94297,9.13719,53.1123,25.4592,50.8501,37.6383,175.373,186.489,275.716,0.094662,0.0138228
vit_base_patch16_clip_224.openai,dish_1564427430,88,clean,clean,345.62,277.363,68.2572,170,181.975,11.975,9.52017,46.5577,18.0252,94.9951,99.8612,277.363,291.79,443.892,0.155386,0.0159101
vit_base_patch16_clip_224.openai,dish_1565896662,106,clean,clean,19.38,29.2781,9.89815,57,52.1978,4.80222,6.90374,47.4544,17.3322,38.2106,24.2466,29.2781,173.733,283.507,-0.123467,0.0159016
vit_base_patch16_clip_224.openai,dish_1566414342,112,clean,clean,846.367,594.922,251.445,552,506.54,45.4597,6.23912,46.8399,23.9134,130.024,156.638,594.922,168.061,255,-0.106095,0.0164895
vit_base_patch16_clip_224.openai,dish_1562617703,60,clean,clean,179.63,91.9323,87.6977,110,45.403,64.597,8.28049,55.7154,24.2476,61.0325,51.5548,91.9323,142.594,223.001,0.0386795,0.017208
vit_base_patch16_clip_224.openai,dish_1565020926,95,clean,clean,398.496,333.994,64.5025,489,387.172,101.828,7.19023,48.7368,18.0053,77.0254,77.6182,333.994,119.269,182.248,-0.0276586,0.0094872
vit_base_patch16_clip_224.openai,dish_1564689168,93,clean,clean,352.947,382.692,29.7453,339,370.822,31.8222,6.41725,46.8931,14.3741,96.8897,106.584,382.692,214.779,353.948,0.0189661,0.0131294
vit_base_patch16_clip_224.openai,dish_1560456348,36,clean,clean,210.283,187.581,22.7017,149,154.485,5.48505,8.66653,52.8737,22.8431,59.9442,50.4399,187.581,236.738,337.29,0.0847833,0.0168215
vit_base_patch16_clip_224.openai,dish_1558641287,18,clean,clean,11.52,10.2996,1.22043,64,65.5877,1.58768,6.61619,29.8232,7.56934,22.2441,8.83369,10.2996,161.177,295.669,0.0794706,0.0189914
vit_base_patch16_clip_224.openai,dish_1558373008,8,clean,clean,251.558,199.418,52.14,73,17.3663,55.6337,7.32008,32.1979,14.9585,81.3184,91.5532,199.418,195.515,330.485,-0.165912,0.0206518
vit_base_patch16_clip_224.openai,dish_1561577947,45,clean,clean,623.204,476.288,146.917,424,366.631,57.3689,6.22506,45.4242,18.0678,100.929,114.679,476.288,405.659,637.289,-0.00112057,0.019845
vit_base_patch16_clip_224.openai,dish_1558639440,17,clean,clean,60.32,61.2336,0.913588,116,125.826,9.82606,6.95029,28.7804,9.00474,27.2506,16.3284,61.2336,144.143,267.058,0.0190533,0.0176211
vit_base_patch16_clip_224.openai,dish_1565894889,105,clean,clean,257.813,199.763,58.0499,74,31.5514,42.4486,6.59803,47.496,18.1233,42.4735,31.0114,199.763,86.8581,152.285,-0.0762194,0.0128494
vit_base_patch16_clip_224.openai,dish_1561147944,41,clean,clean,42.371,85.267,42.896,34,55.614,21.614,7.18273,47.797,39.3599,41,35.089,85.267,177.606,252.83,-0.0922386,0.0134621
vit_base_patch16_clip_224.openai,dish_1557937079,3,clean,clean,146.07,157.085,11.0146,27,-5.56966,32.5697,8.7265,52.2692,19.3643,29.5673,6.92128,157.085,109.658,166.175,0.0621606,0.0169289
vit_base_patch16_clip_224.openai,dish_1558641320,18,clean,clean,211.59,152.907,58.6832,336,302.008,33.9916,8.9396,42.801,20.453,59.8857,54.653,152.907,200.497,356.864,0.054168,0.0255691
vit_base_patch16_clip_224.openai,dish_1567007848,122,clean,clean,100.3,173.051,72.7508,243,306.896,63.8957,6.82972,43.3969,17.1467,54.3559,49.1854,173.051,128.882,196.033,-0.106828,0.0134598
vit_base_patch16_clip_224.openai,dish_1565810969,104,clean,clean,4.6,145.5,140.9,20,163.394,143.394,10.5724,48.6857,25.9752,110.943,121.892,145.5,214.574,381.032,0.0602412,0.00936733
vit_base_patch16_clip_224.openai,dish_1562168800,58,clean,clean,237.525,186.229,51.2956,242,239.472,2.52769,6.68954,46.3744,19.9404,62.5134,60.1689,186.229,187.573,284.411,0.0794079,0.0160236
vit_base_patch16_clip_224.openai,dish_1564687046,92,clean,clean,374.794,414.046,39.2519,308,268.217,39.7828,9.46133,49.4731,17.8248,102.818,109.23,414.046,214.793,334.86,-0.0339938,0.0143441
vit_base_patch16_clip_224.openai,dish_1563221054,73,clean,clean,298.878,382.826,83.948,170,236.74,66.7398,5.74967,41.9299,31.8065,81.3107,94.7482,382.826,226.661,368.57,0.0731531,0.0140219
vit_base_patch16_clip_224.openai,dish_1565898361,107,clean,clean,370.671,361.577,9.09487,202,210.839,8.83887,6.29825,44.8985,11.8384,87.4221,93.7689,361.577,137.85,249.77,0.0230877,0.0144466
vit_base_patch16_clip_224.openai,dish_1560367926,34,clean,clean,408.523,451.831,43.3076,194,216.767,22.7672,6.83152,46.4697,17.7225,84.6596,90.1127,451.831,200.778,324.35,0.0713198,0.0126931
